Name,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
vcafegholhak,ویکافه (قلهک),خیابان شریعتی ، دوراهی قلهک ، خیابان بصیری پلاک 6(ساختمان سام ) طبقه 5,02122649561,8:30-23,2,8.5
raees,رئیس,خیابان سئول، پایین تر از چهارراه یاسمی، پلاک 60,02188602571,8-24,2,8.0
tiwan,تیوان,زعفرانیه، بین مردانی و ماکویی پور، پلاک ۳۲، طبقه دوم,02122431889,9-23:30,2,7.8
derakhtginko,درخت ژینکو,شهرک غرب ، بلوار فرحزادی ، پایین تر از بلوار دریا ، نبش بوستان دوم شرقی,02188090099,9-24,2,7.9
cake-studiousara,کیک استودیوسارا (Asp),اتوبان حکیم غرب،خروجی شیخ بهایی،بلوار۶۴ متری،ساختمانهای آ.اس.پ،جنب ورودی بلوکB,0218804,8-22,2,5.9
babylon-bistro,بابیلون بیسترو,شیخ بهایی ،  برجهای آ.اس.پ ، طبقه همکف تجاری پلاک22,02188039499,10-23,2,9.0
cavish,کاویش,بلوار مرزداران، نرسیده به اشرفی اصفهانی ، نبش خیابان ابوالفضل، پلاک ۲۰۷,02144389320,9-23:15,2,8.0
shato,شاتو,پونک، خیابان میرزا بابایی، رو به روی پارکینگ شهروند، پلاک ۳۲,02144422772,11-23,2,7.1
setras,ستراس,خیابان بهشتی ، خیابان وزرا ، نبش یکم ، پاساژ ستاره ، طبقه اول ، واحد 26,02188716255,7:30-22:30,1,8.1
russia,راشا,ميدان فاطمی، مرکز خرید پرنيان، طبقه اول، واحد ۴۴,02188978752,8-24,2,8.8
papa-cafe,پاپا,خیابان آیت، بالاتر از چهارراه تلفن خانه، به سمت میدان هفت حوض، پلاک ۲۳۵,02177956160,8-23,2,8.4
hayatshomare65,حیاط شماره 65,خيابان انقلاب ( شرق به غرب) ، نرسيده به ميدان فردوسى، خيابان موسوى، نبش كوچه اعتماد مقدم پلاك ٣٢,02188302842,9-23,2,8.6
golha,قهوه خانه گلها,خیابان  فردوسی خیابان سرهنگ سخایی پلاک3,02166745626,6-16:30,2,7.0
shade,شید,سهروردی شمالی، چهار راه هویزه، نبش کوچه نیکو قدم، پلاک 476، نبش رستوران البرز,02188766726,9-11,2,7.2
africa,آفریقا,میدان آرژانتین ، طبقه دوم مرکز خرید آفریقا,02188552925,10-21,2,7.6
agor,آگر,خیابان انقلاب، بین خیابان نجات الهی(ویلا) و میدان فردوسی، نبش کوچه براتی، پلاک814,02166700414,8-11,3,8.7
elsasaadatabad,السا (سعادت آباد),سعادت آباد، بلوار دریا ، انتهای کوچه رامشه ، بین توحید 1 و مهرداد ، پلاک 68/1,02188094926,8-24,3,7.6
parchak-cheese-house,خانه پنیر پرچک,خیابان ولیعصر، بالاتر از پارک ساعی، نبش کوچه گل,02188652255,9-23,2,7.7
sinama1,سینما (خانه موزه انتظامی),قيطريه، روبروي تقاطع كاوه، خ احمدي، كافه سينما خانه موزه استاد عزت الله انتظامي,02126768513,10:30-22:30,2,8.1
viunacafe,ویونا (موزه سینما),خیابان ولیعصر ، بالاتر از زعفرانیه ، باغ فردوس، موزه سینمای ایران,02122742559,8:30-23,2,8.8
markof,مارکوف,خیابان انقلاب، بعد از 4 راه ولی عصر، خیابان خارک، کوچه شهرود، پلاک 9,9193972207,9-23,2,7.8
sinama,سینما (موزه سینما),خیابان ولیعصر – بالاتر از زعفرانیه – باغ فردوس – موزه سینمای ایران,02122756531,9-23:30,2,8.1
labkhand1,لبخند,خیابان دماوند نرسیده به ترمینال شرق،جنب ایستگاه داریوش،خیابان حیدری,02177166876,14-22:30,2,6.0
upartmaan,آپ آرت مان,خیابان ایرانشهر، خیابان کلانتری، پلاک 48,02188866722,8:30-23:30,2,8.6
baghmozemoghadam,باغ موزه مقدم,خیابان امام خمینی ، بعد از شیخ هادی ، موزه مقدم,9120157347,9-17,1,7.1
emaratrooberoo,عمارت روبرو,چهارراه ولیعصر، ضلع شمال شرقی، نبش بانک شهر،بن بست کیانپور,02166404230,8-23,1,5.7
shahnameh,شاهنامه,میدان نوبنیاد، ضلع جنوب غربی، نبش پاساژ غزال,02122829248,11-24,2,6.2
exit,خروج,بلوار کشاورز، خیابان فلسطین، کوچه حجت‌دوست، پلاک ۳,02188972972,8-23:30,1,7.8
loshaneh,لوشانه,میدان تجریش ، بازار قائم، طبقه پنجم,02122710093,10-22,2,7.8
chaibarcafe,کافه چای بار,خیابان دزاشیب٬ خیابان کریمی٬ خیابان سلیمی شمالی، پلاک ۱۴۵,02122210311,9-23,2,8.7
lamizcafe,لمیز(میدان فاطمی),میدان فاطمی (ضلع شمال غربی) ، جنب پاساژ لئون ،  پلاک 18,02188967443,7-24,1,8.8
amir,امیر,خیابان ولیعصر ابتدای یوسف آباد بین چهارم وششم,02188974400,12-23,2,8.8
armeniya,آرمنیا,خیابان مطهری، خیابان فجر، خیابان لطفی، پلاک 126,02188841634,10-22,2,8.5
matino,بستنی متینو,تجریش - خیابان ولیعصر - روبروی باغ فردوس - جنب بانک سامان,02122709084,8-24,2,8.1
