Name,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
hannan,قلیان سرای حنان,خیابان رودکی ، بالاتر از تقاطع امام خمینی، پلاک ۲۸۸,02166881730,10-24,2,null
cafe_75,کافه 75,میرداماد، میدان محسنی، خیابان شاه نظری، کوچه دوم، پاركينگ راز,02122256876,9:30-23,2,8.1
bistrotpop,بیسترو پاپ,خیابان سمیه، بعد از سپهبد قرنی ، نرسیده به نجات اللهی ، داخل کوچه افشار ، جنب تالار شب طلایی پلاک ۲,02188917683,8-23:30,2,8.7
parvaz_cafe,پرواز,سعادت آباد، میدان بهرود، خیابان قمصری، ابتدای ورودی غربی پارک پرواز,02122347301,12-24,2,6.7
roccopark_marzdaran,روکوپارک (مرزداران),بلوار مرزداران، نبش خیابان البرز، شماره ۷۱۰,02144384200,12-24,2,8.5
type,تایپ,ایرانشهرشمالی،نبش کلانتری,02188349917,8-24,2,8.2
volo_parco,ولو پارکو,سعادت آباد، چهار راه سرو،بلوار پيام،انتهاي كوچه شهروند پلاك ٢٠,02122141140,11:30-24,2,8.1
zhowan,ژوان,سعادت آباد، ابتدای بلوار دریا،نرسیده به صرافها جنوبی،پلاک75,02186128640,7:30-23:30,2,8.5
cheese_factory,چیزفکتوری,اقدسيه،نبش فيروز بخش،مركز خريد اواسنتر,02126455189,12:30-24,2,8.2
behdooneh,بهدونه,یوسف آباد، نبش شصت و سوم,02188623619,12-24,2,null
carota,کاروتا,شهرک غرب،بلواردادمان،بلوار درختی،خیابان سپهرشرقی،پلاک69,02188095083,9-23:30,2,9.0
waffle_plus,وافل پلاس,آجودانیه،نرسیده با کاشانک،فودکورت عرش آجودانیه,02126131952,10-23,2,7.9
binam,بی نام,بزرگراه حکیم غرب، بعد از چهارراه تعاون، کوچه قائم، پلاک ۶,02144958478,11:30-23:30,2,8.3
lidoma_kakh,کاخ لیدوما,شهرك غرب،ميدان صنعت،بلوار فرحزادي، پاساژ ليدوما,02186090890,12-24,2,7.7
