,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
start_line,استارت لاین,دارآباد،خیابان پورابتهاج،نبش خیابان محبّی,,9-23,2,null
luigi_gisha,لوئیجی (گیشا),گیشا کوی نصر، بین کوچه 1 و 3 پلاک 26,02188269208,10-24,2,5.2
luigi_tirazhe,لوئیجی (تیراژه),بزرگراه اشرفی اصفهانی،مرکز خرید تیراژه،طبقه دوم,02188087838,9-24,2,8.1
luigi_land,لوئیجی (شهرک غرب),شهرک غرب،بلوار دادمان،بین کوچه معراج و میلاد،پلاک ١٤٧,02188087838,9-24,2,null
restaurant_sarashpaz_tuba,سرآشپز,چیتگر، بلوار کوهک، مرکز خرید طوبی، آسانسور جنوبی، طبقه 5,02146086959,12-23:30,2,null
lavender_jordan,لوندر (جردن),جردن،نبش دستگردی،پلاک۹۹,02122414672,7:30-22,2,null
tissa_lounge,تیسا لانژ,جردن،نبش آرش غربی،ساختمان اکسین،طبقه نهم,02122664161,9-23:30,2,null
deiox_cafe,دیوکس,خیابان ولیعصر،بالاتر از چهار راه ولیعصر،خیابان بزرگمهر،نبش فریمان پلاک ۵۸,02166412840,8-23:30,2,6.8
lanima_restaurant,لنیما,آیت الله کاشانی،سه راه جنت آباد,02146120170,7:30-24,2,6.8
cafexpress,متاسفانه خطایی رخ داده است. در صورت تکرار لطفا از طریق صفحه تماس با ما مشکل را گزارش کنید,null,null,null,0,null
wanderinginprague,پرسه در پراگ,شهرک غرب،میدان صنعت،ابتدای خیابان سیمای ایران،ورودی پارکینگ مجتمع تجاری پلاتین،جنب هایپرمی،حیاط مرکزی,02186090112,10-23,2,null
little_italy,لیتل ایتالی,شیخ بهایی جنوبی،بلوار علیخانی،مجتمع ونک پارک،برج دماوند,09126381730,13-24,2,8.1
laluce_restaurant,لالچه,کامرانیه شمالی ، نبش شریفی ، ساختمان یاس کامرانیه ، پلاک ۸ ، طبقه۹,02126253796,16-23:30,2,null
kaiser_cafe_restaurants,کایسر,نياوران،اميرسليمانى،روبروی فرهنگسرای امام خمینی,02122290380,10-23,2,null
majolcafe,ماژول,ستارخان،روبروى حبيب الهي،خيابان تاكستان،پلاک ٧/١,02166550997,9:30-24,2,null
indra,ایندرا,پاسداران،نگارستان هفتم,,7:15-24,2,null
shahkuh,شاه کوه,شمیرانات،اوشان میدان امام علی پانصد متر به سمت تهران,09334441293,12-24,2,8.1
anobani,آنوبانی,سهروردي شمالی، پايين‌تر از آپادانا(خرمشهر)، نبش كوچه فيروزه، پلاک ٥٤٤,02188750003,12-24,2,null
ebteda_cafe,ابتدا,ولیعصر، بالاتر از میدان ولیعصر، کوچه فرخی ، پلاک ۳۵,09354381886,12-23,2,null
khaneatlasi,خانه اطلسی,میدان فلسطین،خیابان طالقانی غرب،خیابان سرپرست بن بست پارس,02166975237,12-23:30,2,null
mocafe,مُ,خواجه عبدالله،روبروی کوچه13،مجتمع اختر,02122861934,7:30-23,2,null
nezamiyeh_boutique_hotel,بوتیک هتل نظامیه,ميدان بهارستان،خيابان نظاميه،كوچه اصالت،بنبست پنجم,02175904,9-23,2,null
divaa_cafe,دیوا,لواسان، بلوار امام خمینی، نبش بوستان اول,02126547133,8-23:30,2,8.1
2shotcafe,توشات,بلوارکشاورز، خیابان قدس، نرسیده‌ به‌ ایتالیا، کوچه‌ اَمیرشاهی، پلاک 7,02188967962,10-23,2,null
shamsa_house,عمارت شمسا,میدان انقلاب،کارگرشمالی،کوچه ادوارد براون، پلاک 17,09309909890,10-22,2,null
jayidigarbookcafe,کتاب جایی دیگر,شریعتی،جنب مترو قلهک،پلاک ۱۵۰۰,02122603364,9-22,2,null
justfresh,جاست فرش,میدان آرژانتین، ابتدای عماد مغینیه، مجتمع تجاری بهاران,02188887222,6:30-22:30,2,null
cafetehroonkandovan,تهرون کندوان,میدان فردوسی ،خیابان انقلاب ،روبروی استاد نجات الهی (ویلا) کوچه کندوان نبش مهرانی پلاک ۱۹,02166737146,8-23,2,7.5
mito,میتو,بلوار میرداماد،میدان مادر،خیابان شاه نظری،پاساژ محسنی،طبقه دوم,02126705268,12-23,2,8.1
saless_book_cafe,هنر ثالث (ایران مال),انتهای اتوبان شهید خرازی،ایران مال،باغ دیدار،طبقه G3 واحد ۱۴۴,,10-22,2,6.7
sharbatkhaneh_iranmall,شربت خانه,بازار بزرگ ایران مال،طبقه G2,09100333537,9-23,2,null
lounge_cinema,سینما لانژ,بازار بزرگ ایران مال،طبقه G3,,11-23,2,null
