,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
viuna-tajrish,ویونا (بازار قائم),تجریش ، بلوار شهرداری،کوچه زعیم ، بازار قائم ، طبقه پنجم ، پلاک 2176,02122721688,9:30-22,2,7.3
dantecaferestaurant,دانته,خيابان يوسف اباد نبش كوچه ١٢ پلاك ١٢٢ ، طبقه ٥,02186046472,9-24,3,7.7
almond,آلموند,يوسف اباد خيابان ٦٤ بعد از پل كردستان مجتمع asp واحد تجاري ١٠,02188603988,9:30-23:30,2,7.8
parpirar,پارپیرار,تهرانپارس،خیابان ۱۸۲شرقی،نرسیده به ۱۳۱,02177350876,10-24,2,7.4
ava_plus,آوا پلاس,نياوران،بعد از سه راه ياسر به سمت تجريش، پلاك250,02122728797,9-24,2,7.9
izar,ایزار,باغ کتاب تهران، طبقه دوم,9304444808,10-24,2,6.0
captain_lounge,کاپیتان لانژ,خیابان پاسداران، بین نگارستان نهم و دهم,09028888393,12:30-24,2,7.8
nattlisohrevardi,قنادی ناتلی,خیابان سهروردی شمالی، بالاتر از خیابان آپادانا، نبش خیابان توپچی، شماره 655,02187109107,9-22,2,8.6
borito,بوریتو,خیابان سهروردی شمالی، خیابان خرمشهر(آپادانا)، پلاک 172,02188522121,9-24,3,8.0
elcafe,متاسفانه خطایی رخ داده است. در صورت تکرار لطفا از طریق صفحه تماس با ما مشکل را گزارش کنید,null,null,null,0,null
cafe365,سیصد و شصت و پنج,اختیاریه جنوبی،روبه روی بوستان 22 بهمن,02126474397,9-24,2,null
cafe_13,سیزده,فلسطین شمالی،نرسیده به بلوار کشاورز،پلاک431,02188914292,8-24,2,null
cafe_do_hasht,دو هشت,انقلاب،فخررازی،پلاک۳۷,09025369618,11-22,2,null
soora_coffee_restaurant,سورا,شیخ فضل الله جنوب،خیابان سازمان آب،بعد از چهارراه اول، روبروی پارک شاهین,02144927217,12-23,2,null
mescafe,مس,میدان نیاوران(باهنر) ، ضلع شمالی,02126116400,8:30-24,2,null
clavier,کلاویه,گاندی جنوبی، مرکز‌ خرید گاندی ، پلاک‌۱۶,02188882974,12-23,2,null
crescendo,کرسندو,جردن،کوچه یزدان پناه،نبش دبیر,02188776866,7-24,3,8.1
tehroonchi,طهرونچی,"‏‎ميدان ونک، ابتدای خیابان ونک, پلاک 3",02188792956,8-23:15,2,null
