,name_en,name_fa,city_id,price_class
227,cinemaasrejadid-arak,سینما عصر جدید,14,1
228,payiz-arak,پاییز,14,2
229,bernice,برنیس,15,2
230,bamland_diako,بام لند دیاکو,15,2
231,diocafe-qazvin,دیو,15,1
232,nozhacafe-qazvin,نوژا,15,2
233,sheed-cafe-qazvin,شید,15,2
234,ersie-qazvin,عینک ارثیه,15,2
235,karoma-cafe-qazvin,کاروما,15,2
236,negarossaltaneh-qazvin,نگار السلطنه,15,2
237,melo,ملو,16,2
238,honar_cafe,هنر,16,2
239,shahraan,کافه رستوران شهران,16,0
240,khanehsaboo,کافه خانه سبو,16,0
241,baharak,بهارک( دسرک),16,0
242,letocafe,لتوکافه,16,0
243,synod,سی نود,16,0
244,shaniya,شانیا,16,0
245,robaee,رباعی,16,0
246,cafekhamiz,خامیز,16,2
247,harik,هریک,16,0
248,darya_baz,دریا باز,16,2
249,coffemarket,کافه مارکت,16,0
250,nanjam,نان جم,16,0
251,natur,ناتور,16,0
252,number6,نامبر 6,16,0
253,sweet_angel_pastry,سوییت آنجل,16,0
254,royalgalesi,رویال گلکسی,16,0
255,idea_cafe,ایده کونفه,16,0
256,madaeen,مدائن,16,0
257,avrin,کافه و رستوران هتل اورین,16,0
258,belinski,بلینسکی,16,2
259,barmancafe,کافه رستوران بارمان,16,2
260,beatbistro,بیت بیسترو,16,2
261,caferack,راک,16,2
262,sweet-blissniyavaran,سوییت بلیس (نیاوران),16,0
263,chimney,چیمنی (پاسداران),16,2
264,shemroon_gharb,شمرون (شهرک غرب),16,2
265,golliyancafe,گل لیان,16,0
266,bamerey,بام ری,16,2
267,avani,آوانی,16,2
268,noosheh,نوشه,16,2
269,shemroon-baamland,شمرون (بام لند),16,2
270,viuna-tajrish,ویونا (بازار قائم),16,2
271,dantecaferestaurant,دانته,16,3
272,almond,آلموند,16,2
273,parpirar,پارپیرار,16,2
274,ava_plus,آوا پلاس,16,2
275,izar,ایزار,16,2
276,captain_lounge,کاپیتان لانژ,16,2
277,nattlisohrevardi,قنادی ناتلی,16,2
278,borito,بوریتو,16,3
279,cafe365,سیصد و شصت و پنج,16,2
280,cafe_13,سیزده,16,2
281,cafe_do_hasht,دو هشت,16,2
282,soora_coffee_restaurant,سورا,16,2
283,mescafe,مس,16,2
284,clavier,کلاویه,16,2
285,crescendo,کرسندو,16,3
286,tehroonchi,طهرونچی,16,2
287,insidecafe,اینساید,16,2
288,cafe_snake,اسنیک,16,2
289,hobo_lounge,هوبو لانژ,16,2
290,ariya_restaurant_sonati,آریا,16,2
291,hemera_tehran,همرا,16,2
292,herma_cafe,هرما,16,2
293,levicafe,لِوی,16,2
294,emaratehoor,عمارت حور,16,2
295,open_mindcafe,روشن فکر,16,2
296,niki_caferestaurant,نیکی,16,3
297,maronbar,مارون بار,16,2
298,mashacafe_evinhotel,ماشا,16,3
299,odessa,اودسا,16,2
300,dolitcafe,دلیت,16,2
301,cafemostaghel,مستقل,16,2
302,roseofpersia,رز ایرانی,16,2
303,bell,بل,16,2
304,coffeemarat7hoz,عمارت تراس,16,2
305,alenda,آلندا,16,2
306,nobu_tehran,نوبو,16,3
307,grossi_restaurant,گروسی,16,2
308,fisherabadcoffee,فیشرآباد,16,2
309,rota_lounge,روتا لانژ,16,3
310,rhinocafeclub,راینو (هفت تیر),16,2
311,ronak_gardencafe,روناک گاردن,16,2
312,prisca_cafe_restaurant,پریسکا,16,2
313,cafe_beynolmelal,بین الملل,16,2
314,odette_cafe,اُدت,16,2
315,cozylounge,کوزی لانژ,16,2
316,baccara_cafe,باکارا (ولیعصر),16,2
317,fidar,فیدار,16,2
318,baraz,باراز,16,2
319,sesenik,سسنیک,16,2
320,bonak_cafe,بناک,16,2
321,garas,بیکری گراس,16,2
322,cafe_clavier,کلاویه,16,2
323,cafe_darbar,دربار,16,2
324,routinecoffee,قهوه روتین,16,2
325,look_cafe,لوک,16,2
326,jiliz_viliz_romi,جیلیز ویلیز (پل رومی),16,2
327,cafekonj,کنج,16,2
328,lounge12,لانژ 12,16,2
329,maktabe_ghahve,مکتب قهوه,16,2
330,cafe_karbon,کاربن,16,2
331,zeehouse,زی,16,2
332,braftto,برافتو,16,2
333,lidopluss,لیدو پلاس,16,2
334,wantedfastfood,وانتد,16,2
335,zhiner_plus,ژینرپلاس,16,2
336,loutra,لوترا,16,2
337,52hz_cafe,پنجاه و دو هرتز,16,2
338,theyarcafe,دیار,16,2
339,cafe_bavar,باور,16,2
340,diversolounge,دیورسو,16,2
341,interni_gharb,اینترنی (شهرک غرب),16,3
342,deer_factory,دییر فکتوری,16,2
343,blackbox_artcenter,بلک باکس,16,2
344,delin_cafe,دلین,16,2
345,coffee_come,دات کام,16,2
346,laminerlounge,لامینر لانژ,16,2
347,riva_platin,ریوا,16,2
348,emcafe,ام,16,2
349,eran_cafe,اِران,16,2
350,locadonut_niavaran,لوکادونات (نیاوران),16,2
351,locadonut_fereshteh,لوکادونات (فرشته),16,2
352,locadonut_saadatabad,لوکادونات (سعادت آباد),16,2
353,kohenor,کوه نور,16,2
354,cafevalhalla,والهالا,16,2
355,cafekamak_pasdaran,کامک (پاسداران),16,2
356,cafekamak,کامک (یوسف آباد),16,2
357,ghahve_khan,قهوه خان,16,2
358,lidocafe,لیدو (ازگل),16,2
359,shaghayegh_cafe,شقایق,16,2
360,lavender_fereshteh,لوندر (فرشته),16,2
361,film_classic,فیلم کلاسیک,16,0
362,raman_farahzadi,رامان,16,2
363,ruchik,روچیک,16,2
364,hakubuffet,بوفه هاکو,16,2
365,home_alborz,خونه البرز,16,2
366,cafehaft7,هفت (هفت تیر),16,2
367,shebrocafe,شبرو,16,2
368,brunchetto,برانچ تو,16,2
369,barsincoffee,برسین,16,2
370,adisheh_lounge1,آدیشه لانژ,16,3
371,golzar_cafe,گلزار,16,2
372,cafe_chaai,چای (هفت تیر),16,2
373,avli,آولی,16,2
374,loafboxbakery,لوف باکس,16,2
375,meri,مری,16,2
376,blucasa2,بلوکازا (شمس آباد),16,2
377,blucasa3,بلوکازا (قیطریه),16,2
378,yankee,یانکی,16,2
379,c2,سیتو,16,2
380,hezarafsan,حیات هزار افسان,16,2
381,philosophique,فلسفه,16,2
382,prologue_cafe,پرولوگ,16,2
383,the_d_project_cafe,پروژه (د),16,2
384,lavielounge,لوی لانژ,16,2
385,cafe_zhivan,ژیوان,16,2
386,gravity,گرویتی,16,2
387,cafe_ashkboos,اشکبوس,16,2
388,cafe_puzzle,پازل,16,2
389,rolexlounge,رولکس لانژ,16,3
390,celato,کلاتو,16,2
391,chakmozniavaran,چک موز,16,2
392,adora,آدورا,16,3
393,karzin_mehrabad,کارزین (فرودگاه مهرآباد),16,2
394,kurehcafeandworkshop,کارگاه سفالگری کوره,16,2
395,karzin_enghelab,کارزین (باشگاه انقلاب),16,2
396,karzin_niavaran,کارزین (نیاوران),16,2
397,karzin_gharb,کارزین (شهرک غرب),16,2
398,cafeclover,کلاور,16,2
399,gamerepublic,گیم ریپابلیک,16,2
400,adacafe,آدا لانژ,16,2
401,beliton,بلیتون,16,3
402,rabocaf,رابو,16,2
403,vario,واریو,16,2
404,vibecafevip,وایب,16,2
405,start_line,استارت لاین,16,2
406,luigi_gisha,لوئیجی (گیشا),16,2
407,luigi_tirazhe,لوئیجی (تیراژه),16,2
408,luigi_land,لوئیجی (شهرک غرب),16,2
409,restaurant_sarashpaz_tuba,سرآشپز,16,2
410,lavender_jordan,لوندر (جردن),16,2
411,tissa_lounge,تیسا لانژ,16,2
412,deiox_cafe,دیوکس,16,2
413,lanima_restaurant,لنیما,16,2
414,wanderinginprague,پرسه در پراگ,16,2
415,little_italy,لیتل ایتالی,16,2
416,laluce_restaurant,لالچه,16,2
417,kaiser_cafe_restaurants,کایسر,16,2
418,majolcafe,ماژول,16,2
419,indra,ایندرا,16,2
420,shahkuh,شاه کوه,16,2
