,phone_number
1186,02166978677
1187,02126152881
1188,02122653842
1189,02166720791
1190,02122238061
1191,02188888651
1192,02188490726
1193,02188803714
1194,02144971968
1195,02122899313
1196,02188309010
1197,021
1198,02188347810
1199,02177738715
1200,02188620337
1201,02122176249
1202,02166950935
1203,02188614999
1204,02188171977
1205,02188073283
1206,02188877930
1207,02188774591
1208,02177945526
1209,02166475300
1210,02188848022
1211,02122311693
1212,02126205253
1213,02122009214
1214,02188620988
1215,02122247185
1216,02122238108
1217,02188309474
1218,02126103980
1219,02122272205
1220,02188949572
1221,02188607531
1222,02188832127
1223,02188054380
1224,02122658371
1225,02166511036
1226,02122738506
1227,02188553832
1228,02122978274
1229,02188791535
1230,02122717877
1231,02122419494
1232,02122016523
1233,02188824017
1234,02144491502
1235,02188261409
1236,02122610670
1237,02166462205
1238,02126404521
