,id,Name,Latitude,Longitude
73,73,ritooncafe-kerman,30.29431290084265,57.04653024673462
74,74,pianocafe-kerman,30.28328839911060,57.04330086708069
75,75,sharbatchiyan,30.29773192734459,57.04096573728748
76,76,roz-kerman,30.28581765902334,57.03630566596985
77,77,barista-kerman,30.29215441948250,57.03531861305237
78,78,keykhosro,30.29538749187601,57.08882331848144
79,79,1stclass,35.82468347019756,50.97659358318362
80,80,mehradhal_karaj,35.83522828600601,51.01366281509399
81,81,lukas_mehrshahr,35.80097178542949,50.90738967061043
82,82,emarat_asemani,35.83511086412926,50.98645985126495
83,83,kavich_gohardasht,35.84150684159402,50.97120210528374
84,84,venhan_gohardasht,35.84356044655361,50.96744298934936
85,85,shad_karaj,35.86071776504637,50.97494244575500
86,86,amooghobad_karaj,35.86105687381065,50.97697019577026
87,87,anan_gohardasht,35.85923088641566,50.97433090209961
88,88,billionaires_karaj,35.84716309566336,51.01256847381592
89,89,tishini_karaj,35.84734354994484,51.01289033889770
90,90,character,35.79458233148640,50.89561343193054
91,91,shahrekhodro,35.79833187415961,50.90182006359100
92,92,ghalb_khorshid,35.83576755461560,51.01483225822449
93,93,pedra_azimiye,35.83677867337904,51.01997673511505
94,94,luigi_karaj,35.79829271535936,50.90180933475494
95,95,fanoos_karaj,35.82809132959332,50.98990917205810
96,96,rest_karaj,35.83734402448996,51.02004647254944
97,97,darchin_cafe,35.82431546347022,50.98786801099777
98,98,seven_karaj,35.83540224402251,50.98656177520752
99,99,kohan_diyaran,35.81981740000000,51.01649230000000
100,100,bokhara_karaj,35.82492059276356,50.98788142204285
101,101,zhozak_azimiyeh,35.83223234294451,50.99961407482624
102,102,zhozek_mehrshahr,35.79361527538714,50.89013099670410
103,103,expose,35.79002107397580,50.89294195175171
104,104,blanch-atar,35.81655167489695,50.95307774841785
105,105,mana,35.81541632233973,50.95848441123962
106,106,royalpalas_mehrshahr,35.80377911026840,50.90240478515625
107,107,shamsolemare_gohardasht,35.85300699671814,50.97561836242676
108,108,kardo_karaj,35.82074603105342,50.93640714883804
109,109,themaze_karaj,35.84480193313371,51.01040124893188
110,110,burger_buffalo,35.79639131483837,50.89751243591308
111,111,doran_azimieh,35.84149053430107,51.01940810680389
112,112,garnish_karaj,35.83811593969324,50.97809672355652
113,113,firstclass,35.84438013426859,50.97238361835480
114,114,khalifagarden,35.80537878422100,50.90024426579480
115,115,artemiss,35.79476893015839,50.89556544176639
116,116,zafar1,35.84316908073099,50.97254991531372
117,117,fungo,35.84311847411559,50.97734586328636
118,118,anloo_karaj,35.82760526890328,50.98804719939209
119,119,karzin_karaj,35.77428473889014,50.97525894641876
120,120,navy,35.83007558631956,50.93965086411595
121,121,zharles,35.85387801724290,50.98223833230099
122,122,waffle,35.83651774073826,50.98437979817390
123,123,amirshokolatpelus,35.83654165959940,50.98442975431680
124,124,tt,35.87098100000000,50.97107000000000
125,125,riboon,35.82054485491297,50.97078770399093
126,126,cafe-sibil,35.81425920302870,50.90423673391342
127,127,daloon,35.85658747776333,50.97183108329773
128,128,shams1,35.80095982064016,50.90773165225983
129,129,blanch,35.84113829595571,51.02077871561050
130,130,chenin,35.82818200000000,50.98506100000000
131,131,mazzo,35.83710104789490,51.02003502537832
132,132,havana-karaj,35.85909176184203,50.97846150398254
133,133,plus-karaj,35.84034575395969,51.01521179080009
134,134,alef_karaj,35.84794565905080,50.97870846356360
135,135,lounge_karaj,35.83677300000000,51.01894800000000
136,136,daryoush,35.83740008727730,51.01997323978670
137,137,sedayat,35.85516812935710,50.97914095672120
138,138,bnd_hormozgan,27.20585728866426,56.33758485317230
139,139,konjdenj-bandarabas,27.20478751015614,56.33262138771693
140,140,nardin-bandarabas,27.20893600000000,56.34269200000000
141,141,salmont-bandarabas,27.18298777744180,56.31291389465332
142,142,art-bandarabas,27.20426161311666,56.34042332270235
143,143,rush-bandarabas,27.18343600000000,56.31079500000000
144,144,coco-bandarabas,27.20308533193749,56.34099125862121
145,145,grillpiano-bandarabas,27.19346167004784,56.34425282478332
146,146,fin-bandarabas,27.18204293148240,56.29600524902340
147,147,zhino-sabzevar,36.21388626098630,57.68589782714840
148,148,terasmashhad,36.32147031584075,59.53302383422851
149,149,terrace-mashhad,36.32147031584075,59.53302919864654
150,150,pardisan_mashad,36.30060307592185,59.53622134723878
151,151,boocafe,36.31015411664746,59.56628322601318
152,152,aron_mashhad,36.32111589907588,59.51983809471130
153,153,comma_mahshad,36.28392038083563,59.56511684699819
154,154,sandali-mashhad,36.32226717111480,59.52179147638410
155,155,suger-ahmadabad-mashhad,36.29504023664463,59.57299947738647
156,156,suger-sajad-mashhad,36.31849230046303,59.55378413200378
157,157,kook-mashhad,36.31148119676116,59.55475777387619
158,158,leon-mashhad,36.26853199889231,59.55186367034912
159,159,retro-mashhad,36.33215260466070,59.46550059716420
160,160,cafe1860-mashhad,36.30161184870307,59.48548436164856
161,161,nabaatcafe-mashhad,36.30513089225756,59.56786036491394
162,162,cafe81,36.31547700000000,59.54590900000000
163,163,sasan_hotel_shiraz,29.61989030076001,52.53782138228416
