,id,Name,Perfect,Good,Ok,Bad,Very Bad
890,922,cluna_parkway,2,2,0,0,0
891,924,lime_golestan,4,3,2,1,0
892,925,ch_cafe,4,1,0,1,0
893,926,kooche_moka,3,2,0,0,0
894,927,thisfun,2,2,0,0,0
895,928,cam_cafe,1,0,1,0,0
896,929,benitacafe_plus,5,1,1,0,1
897,930,johaina,4,1,1,1,0
898,931,clunavanak2,3,4,0,0,0
899,932,lamiz_pasdaran,6,2,0,0,1
900,933,lumiere,2,1,0,0,0
901,934,love_ice_cream,3,0,0,0,0
902,935,dopiano,3,5,1,1,1
903,936,amirchocolate_saadatabad,0,3,2,0,0
904,937,downtown_planet,32,19,4,5,5
905,938,koolak1,3,0,0,0,0
906,939,sakura,1,0,0,0,0
907,940,rebelan,69,22,16,5,21
908,941,movaazi,2,3,0,1,0
909,942,xigan,2,2,1,0,0
910,943,cacta,1,1,0,0,1
911,944,moon_lounge,9,2,1,2,2
912,945,chargoosh_cafe,0,1,1,0,3
913,946,biscotti,2,1,1,0,0
914,947,h_and_h,38,17,7,1,6
915,948,foodmarket_avacenter,11,6,1,3,1
916,949,negima,56,21,6,6,9
917,950,te_cafe,1,1,0,0,0
918,951,mehre_nikta,1,0,0,0,0
919,952,ocean,5,3,0,0,2
920,953,iran_nutella,6,1,1,2,0
921,954,mazzo_plus,3,1,0,0,0
922,955,kassab_tajrish,7,8,5,6,7
923,956,nakhlestan,5,1,0,0,1
924,957,epicure,4,1,3,2,2
925,958,fanus_tarasht,10,2,0,1,3
926,959,bajoran,1,1,0,0,2
927,960,seencoffee_niloofar,3,0,0,0,0
928,961,karzin_pasdaran,9,5,5,3,5
929,962,icepack,3,0,3,0,0
930,963,malas,1,0,0,0,1
931,964,glaris,2,9,1,0,1
932,965,barizan,3,3,2,0,0
933,966,goleyakh_piruzi,24,16,1,3,3
934,967,crepe_rahechoobi,2,2,1,1,0
935,968,gelato_plus,2,2,0,1,0
936,969,rozhano,5,0,0,0,0
937,970,emza,15,6,6,5,12
938,971,baalaa,7,5,2,0,0
939,972,tomo_samsenter,4,3,0,0,0
940,973,vicolo_bamland,6,3,4,1,1
941,974,darolkhelafe,42,13,6,0,2
942,975,viuna_argtajrish,24,15,2,1,3
943,976,qamar,10,4,0,0,3
944,977,varf,4,3,0,3,9
945,978,roj,7,5,6,6,3
946,979,haft_cheshmeh1,9,2,0,0,1
947,980,mehraban,1,2,2,0,0
948,981,bapook,1,0,0,0,0
949,982,viuna_saadatabad,16,13,3,2,1
950,983,tehranbeen,44,28,11,10,20
951,984,cut_cafe,0,1,0,0,0
952,985,cluna,4,5,0,0,1
953,986,cafe_chance,2,0,0,1,0
954,987,hesekhob1,3,0,1,0,0
955,988,mazeh,2,1,0,0,0
956,989,shahoo,0,1,0,1,0
957,990,royal_lounge,1,3,4,0,4
958,991,cheraghan,12,8,3,4,7
959,992,illycaffe,7,8,3,2,1
960,993,libro,4,2,1,1,0
961,994,downtism,3,1,0,0,1
962,995,zofa,2,2,2,0,0
963,996,bonelli,46,25,10,4,6
964,997,delnavazan_sohrevardi,1,1,0,1,0
965,998,morocco,12,5,2,1,2
966,999,shandiz_aayani,4,1,0,0,3
967,1000,micmac,3,0,0,0,1
968,1001,creme,2,6,0,0,0
969,1002,mansour_tehranpars,2,7,0,0,1
970,1004,palizi,29,25,5,3,5
971,1005,babarahim,36,12,2,2,5
972,1006,wish,48,36,12,6,4
973,1007,iranshahrgallery,5,2,3,1,2
974,1008,maana,29,19,0,3,2
975,1009,riader,2,4,1,0,0
976,1010,serayala,26,19,12,2,7
977,1011,75,1,0,0,1,0
978,1012,colonel,3,3,0,0,0
979,1013,godo_yas,30,32,17,11,9
980,1014,naghsh_vesal,8,18,7,1,1
981,1015,siro,8,4,4,0,4
982,1016,namecafe,5,1,0,0,0
983,1017,sincere,10,3,7,0,2
984,1018,house_bread,4,2,0,0,1
985,1019,fareen,10,8,6,3,6
986,1020,sitandgo,2,2,1,1,1
987,1021,muguet,3,1,0,0,1
988,1022,cafekobar,1,0,0,0,2
989,1023,raees_palladium,10,7,2,0,1
990,1024,secondcup,5,3,3,1,0
991,1025,music_vist,15,4,5,0,2
992,1026,sun_star,3,3,1,0,1
993,1027,hannan,0,0,0,0,0
994,1028,cafe_75,1,0,0,0,0
995,1029,bistrotpop,49,29,8,4,9
996,1030,parvaz_cafe,0,1,0,0,0
997,1031,roccopark_marzdaran,21,12,7,2,4
998,1032,type,19,10,6,4,6
999,1033,volo_parco,13,11,5,3,3
